NOME;DT_REG;DT_CANCEL;MOTIVO_CANCEL;SIT;DT_INI_SIT
MARCELO MAGALHÃES KHAIR;2009-11-18;;;EM FUNCIONAMENTO NORMAL;2009-11-18
MARCELO MAIA OSTERMANN;2008-11-18;;;EM FUNCIONAMENTO NORMAL;2008-11-18
MARCELO MAISONNAVE DE OLIVEIRA;2002-05-09;2010-12-29;CANCELAMENTO A PEDIDO;CANCELADA;2010-12-29
MARCELO MALTA PEPE GONZAGA;2015-06-22;;;EM FUNCIONAMENTO NORMAL;2015-06-22
MARCELO MANEO DE OLIVEIRA;2013-02-13;2016-03-26;CANCELAMENTO POR FALECIMENTO;CANCELADA;2016-03-26
MARCELO MANHÃES ALVES;2018-03-15;;;EM FUNCIONAMENTO NORMAL;2018-03-15
MARCELO MANSUR;2008-08-22;2009-06-30;CANCELAMENTO A PEDIDO;CANCELADA;2009-06-30
MARCELO MANUEL BIMBATO SALGUEIRO;2020-11-26;;;EM FUNCIONAMENTO NORMAL;2020-11-26
MARCELO MARCONDES SEIXAS;2017-05-17;2019-12-18;CANCELAMENTO A PEDIDO;CANCELADA;2019-12-19
MARCELO MARIS SALES;2008-12-03;2011-09-30;CANCELAMENTO A PEDIDO;CANCELADA;2011-09-30
MARCELO MAROTTA;2019-07-02;;;EM FUNCIONAMENTO NORMAL;2019-07-02
MARCELO MARQUES DA SILVA;2004-05-28;2012-08-31;CANCELAMENTO A PEDIDO;CANCELADA;2012-08-31
MARCELO MARTINEZ;2018-07-31;;;EM FUNCIONAMENTO NORMAL;2018-07-31
MARCELO MARTINS ARAUJO;2021-02-02;2021-09-13;CANCELAMENTO A PEDIDO;CANCELADA;2021-09-14
MARCELO MARTINS DA SILVEIRA;2003-10-31;2016-09-15;CANCELAMENTO A PEDIDO;CANCELADA;2016-09-16
MARCELO MARTINS DE SIQUEIRA;2002-08-23;2012-09-28;CANCELAMENTO A PEDIDO;CANCELADA;2012-09-28
MARCELO MARTINS PEDRONI;2018-11-23;;;EM FUNCIONAMENTO NORMAL;2018-11-23
MARCELO MARTINUSSO DUARTE;2009-08-10;2013-09-30;CANCELAMENTO DE OFÍCIO - NÃO RECADASTRAMENTO ANCORD - INSTR. CVM Nº 497/2011;CANCELADA;2013-09-30
MARCELO MASIERO NAZARETH;2022-03-17;;;EM FUNCIONAMENTO NORMAL;2022-03-17
MARCELO MASTROROCCO DA SILVA;2022-01-03;;;EM FUNCIONAMENTO NORMAL;2022-01-03
MARCELO MASTROROCCO DA SILVA;2008-08-27;2016-12-15;CANCELAMENTO A PEDIDO;CANCELADA;2016-12-16
MARCELO MATOS FERNANDES;2022-03-11;;;EM FUNCIONAMENTO NORMAL;2022-03-11
MARCELO MAURER DUTRA;2021-11-08;;;EM FUNCIONAMENTO NORMAL;2021-11-08
MARCELO MAURÍCIO DE CAMARGOS;2011-08-09;;;EM FUNCIONAMENTO NORMAL;2011-08-09
MARCELO MAXIMILIANO DANESI;2009-09-22;2011-03-31;CANCELAMENTO A PEDIDO;CANCELADA;2011-03-31
MARCELO MAZZARIOL;2012-03-14;2016-12-23;CANCELAMENTO A PEDIDO;CANCELADA;2016-12-24
MARCELO MEDEIROS DA SILVA;2018-04-04;2020-12-10;CANCELAMENTO A PEDIDO;CANCELADA;2020-12-11
MARCELO MENDES DE CASTRO;2005-02-23;2007-06-27;CANCELAMENTO A PEDIDO;CANCELADA;2007-06-27
MARCELO MENDONÇA CACAU;2009-11-23;2013-03-28;CANCELAMENTO A PEDIDO;CANCELADA;2013-03-28
MARCELO MENDONCA WESTIN;2013-08-07;2016-03-03;CANCELAMENTO A PEDIDO;CANCELADA;2016-03-03
MARCELO MESSIAS DA SILVA COSTA REIS;2020-11-11;;;EM FUNCIONAMENTO NORMAL;2020-11-11
MARCELO MIRANDA DA SILVA;2017-06-26;2020-03-19;CANCELAMENTO A PEDIDO;CANCELADA;2020-03-20
MARCELO MIRANDA DE MATTOS;2007-05-22;2012-05-16;CANCELAMENTO A PEDIDO;CANCELADA;2012-05-16
MARCELO MIRANDA FREIRE DE MELO;2022-05-25;;;EM FUNCIONAMENTO NORMAL;2022-05-25
MARCELO MISSIONEIRO DOS SANTOS;2004-07-12;2016-12-28;CANCELAMENTO A PEDIDO;CANCELADA;2016-12-29
MARCELO MOLINA CAMARGO;2021-08-11;;;EM FUNCIONAMENTO NORMAL;2021-08-11
MARCELO MONTE DE OLIVEIRA;2012-03-01;2015-09-29;CANCELAMENTO A PEDIDO;CANCELADA;2015-09-29
MARCELO MORAES DE GOES MAXIMO;2021-08-27;;;EM FUNCIONAMENTO NORMAL;2021-08-27
MARCELO MORAES PELLEGRINI;2022-05-24;;;EM FUNCIONAMENTO NORMAL;2022-05-24
MARCELO MORALLES DE MEDEIROS;2021-07-27;;;EM FUNCIONAMENTO NORMAL;2021-07-27
MARCELO MOREIRA DE ALBUQUERQUE;2008-02-13;2013-09-30;CANCELAMENTO DE OFÍCIO - NÃO RECADASTRAMENTO ANCORD - INSTR. CVM Nº 497/2011;CANCELADA;2013-09-30
MARCELO MORIM MOREIRA;2022-04-04;;;EM FUNCIONAMENTO NORMAL;2022-04-04
MARCELO MORO MEYER;2017-07-17;;;EM FUNCIONAMENTO NORMAL;2017-07-17
MARCELO MOTTA;2017-08-29;2018-01-18;CANCELAMENTO A PEDIDO;CANCELADA;2018-01-18
MARCELO MOURA;2007-07-12;2013-09-30;CANCELAMENTO DE OFÍCIO - NÃO RECADASTRAMENTO ANCORD - INSTR. CVM Nº 497/2011;CANCELADA;2013-09-30
MARCELO MOURA;2015-10-09;2016-03-16;CANCELAMENTO A PEDIDO;CANCELADA;2016-03-17
MARCELO MUCCI NABACK;2010-07-16;2011-04-23;CANCELAMENTO POR FALECIMENTO;CANCELADA;2011-04-23
MARCELO MULLER DOS SANTOS;2021-04-12;;;EM FUNCIONAMENTO NORMAL;2021-04-12
MARCELO MURITIBA DE SOUZA;2011-10-18;2013-09-30;CANCELAMENTO DE OFÍCIO - NÃO RECADASTRAMENTO ANCORD - INSTR. CVM Nº 497/2011;CANCELADA;2013-09-30
MARCELO NADAL ARAUJO DE SOUZA;2016-07-01;;;EM FUNCIONAMENTO NORMAL;2016-07-01
MARCELO NAVARINI;2003-05-23;2022-05-10;CANCELAMENTO A PEDIDO;CANCELADA;2022-05-11
MARCELO NEGRETTI MELLO;2020-07-24;;;EM FUNCIONAMENTO NORMAL;2020-07-24
MARCELO NEGRINI;2021-01-07;2022-03-23;CANCELAMENTO A PEDIDO;CANCELADA;2022-03-24
MARCELO NEHME;2013-09-10;;;EM FUNCIONAMENTO NORMAL;2013-09-10
MARCELO NEVES LIRA;2019-04-22;2020-08-18;CANCELAMENTO A PEDIDO;CANCELADA;2020-08-19
MARCELO NIELS BRAGAGLIA CARTUS;2020-10-08;;;EM FUNCIONAMENTO NORMAL;2020-10-08
MARCELO NOBRE FRASSON;2018-01-23;2021-07-08;CANCELAMENTO A PEDIDO;CANCELADA;2021-07-09
MARCELO NOGUEIRA CHAMMA;2010-09-28;2021-06-04;CANCELAMENTO A PEDIDO;CANCELADA;2021-06-05
MARCELO NONATO RIBEIRO ROSSINI;2017-10-25;;;EM FUNCIONAMENTO NORMAL;2017-10-25
MARCELO NORONHA PEIXOTO;2010-09-23;2012-08-13;CANCELAMENTO A PEDIDO;CANCELADA;2012-08-13
MARCELO NOTOMI KANAZAWA;2011-03-18;2012-12-20;CANCELAMENTO A PEDIDO;CANCELADA;2012-12-20
MARCELO NOVAIS SCHOCH;2017-02-21;2019-06-07;CANCELAMENTO A PEDIDO;CANCELADA;2019-06-08
MARCELO NUNES SOUTO;2018-02-26;;;EM FUNCIONAMENTO NORMAL;2018-02-26
MARCELO NUNO MOREIRA RAMOS CRUZEIRO;2008-06-25;2018-11-14;CANCELAMENTO A PEDIDO;CANCELADA;2018-11-15
MARCELO OLIVEIRA CARES DA SILVA;2020-11-10;2021-09-14;CANCELAMENTO A PEDIDO;CANCELADA;2021-09-15
MARCELO OLIVEIRA D AVILA;2013-08-27;2014-09-24;CANCELAMENTO A PEDIDO;CANCELADA;2014-09-24
MARCELO OLIVEIRA LOPEZ;2004-07-05;;;EM FUNCIONAMENTO NORMAL;2004-07-05
MARCELO OSCAR NASSEH;2003-07-07;;;EM FUNCIONAMENTO NORMAL;2003-07-07
MARCELO OYA;2004-10-13;;;EM FUNCIONAMENTO NORMAL;2004-10-13
MARCELO PACHECO BASTOS;2009-06-24;2010-08-11;CANCELAMENTO A PEDIDO;CANCELADA;2010-08-11
MARCELO PADOVANI;2019-02-15;2019-06-19;CANCELAMENTO A PEDIDO;CANCELADA;2019-06-20
MARCELO PALMEIRO RITTER;2007-06-19;2008-12-31;CANCELAMENTO A PEDIDO;CANCELADA;2008-12-31
MARCELO PALMIERI CARBONELL;2003-10-14;2017-12-27;CANCELAMENTO A PEDIDO;CANCELADA;2017-12-28
MARCELO PARÁ RODRIGUES JÚNIOR';2021-05-26;2021-08-19;CANCELAMENTO A PEDIDO;CANCELADA;2021-08-20
MARCELO PASQUALI;2018-09-14;;;EM FUNCIONAMENTO NORMAL;2018-09-14
MARCELO PEREIRA;2016-11-09;;;EM FUNCIONAMENTO NORMAL;2016-11-09
MARCELO PEREIRA CAVALARI;2007-08-15;2017-07-21;CANCELAMENTO A PEDIDO;CANCELADA;2017-07-22
MARCELO PEREIRA DA SILVA;2019-08-19;2020-11-24;CANCELAMENTO A PEDIDO;CANCELADA;2020-11-25
MARCELO PEREIRA ESTRELA;2013-06-18;;;EM FUNCIONAMENTO NORMAL;2013-06-18
MARCELO PEREIRA LIMA;2020-01-07;;;EM FUNCIONAMENTO NORMAL;2020-01-07
MARCELO PIMENTEL BARBOSA;2011-02-15;2012-08-20;CANCELAMENTO A PEDIDO;CANCELADA;2012-08-20
MARCELO PIMENTEL PUGA;2003-05-30;2008-12-31;CANCELAMENTO A PEDIDO;CANCELADA;2008-12-31
MARCELO PINHEIRO FRANCO;2022-07-11;;;EM FUNCIONAMENTO NORMAL;2022-07-11
MARCELO PINTO BRANDÃO;2008-12-17;2012-06-29;CANCELAMENTO A PEDIDO;CANCELADA;2012-06-29
MARCELO PONCE CAMPERO;2007-10-15;2008-09-30;CANCELAMENTO A PEDIDO;CANCELADA;2008-09-30
MARCELO PONTES CORRÊA RIBEIRO DE SOUZA;2003-10-28;;;EM FUNCIONAMENTO NORMAL;2003-10-28
MARCELO PONTES CRESPO;2021-09-17;;;EM FUNCIONAMENTO NORMAL;2021-09-17
MARCELO PRUDENTE DO ESPIRITO SANTO;2013-02-13;2015-12-31;CANCELAMENTO A PEDIDO;CANCELADA;2016-01-01
MARCELO PUCCI;2008-05-28;2022-07-13;CANCELAMENTO A PEDIDO;CANCELADA;2022-07-14
MARCELO RABELO THEBIT DOLABELA;2017-06-29;2018-09-26;CANCELAMENTO A PEDIDO;CANCELADA;2018-09-27
MARCELO RAHAL COUTINHO;2009-01-08;2017-01-27;CANCELAMENTO A PEDIDO;CANCELADA;2017-01-28
MARCELO RAHAL COUTINHO;2018-02-09;2021-06-14;CANCELAMENTO A PEDIDO;CANCELADA;2021-06-15
MARCELO RAMALHO SALLES;2019-11-07;2022-05-12;CANCELAMENTO A PEDIDO;CANCELADA;2022-05-13
MARCELO RAMOS COLLETTI;2022-02-11;;;EM FUNCIONAMENTO NORMAL;2022-02-11
MARCELO REA;2013-05-23;;;EM FUNCIONAMENTO NORMAL;2013-05-23
MARCELO RECH SOARES CLAUDINO;2020-04-01;2022-01-31;CANCELAMENTO A PEDIDO;CANCELADA;2022-02-01
MARCELO REDONDO SANTANA;2022-02-10;;;EM FUNCIONAMENTO NORMAL;2022-02-10
MARCELO RENATO VIERA LIGO;2017-04-11;;;EM FUNCIONAMENTO NORMAL;2017-04-11
MARCELO RENAUX;2013-05-22;;;EM FUNCIONAMENTO NORMAL;2013-05-22
MARCELO RIBEIRO TORRES;2002-11-08;;;EM FUNCIONAMENTO NORMAL;2002-11-08
MARCELO RICARDO DA SILVA;2010-11-12;2019-06-28;CANCELAMENTO A PEDIDO;CANCELADA;2019-06-29
MARCELO RICHTER DE LIMA;2020-02-21;;;EM FUNCIONAMENTO NORMAL;2020-02-21
MARCELO RISSI;2021-11-05;2022-06-20;CANCELAMENTO A PEDIDO;CANCELADA;2022-06-21
MARCELO RIZZO COSTA;2007-05-15;;;EM FUNCIONAMENTO NORMAL;2007-05-15
MARCELO ROBERTO GOMES DE ARAUJO;2021-09-10;;;EM FUNCIONAMENTO NORMAL;2021-09-10
MARCELO ROCHA DINIZ RIBEIRO;2009-09-25;2010-04-20;CANCELAMENTO A PEDIDO;CANCELADA;2010-04-20
MARCELO ROCHA PEREIRA;2022-08-03;;;EM FUNCIONAMENTO NORMAL;2022-08-03
MARCELO ROCHA PESSUTO;2012-04-20;2014-09-29;CANCELAMENTO A PEDIDO;CANCELADA;2014-09-29
MARCELO ROCHA UVA;2021-03-18;;;EM FUNCIONAMENTO NORMAL;2021-03-18
MARCELO ROCHA UVA;2007-08-15;2019-02-07;CANCELAMENTO A PEDIDO;CANCELADA;2019-02-08
MARCELO RODRIGO SOARES DE GOES;2019-02-26;;;EM FUNCIONAMENTO NORMAL;2019-02-26
MARCELO ROLOFF PACHECO;2017-08-27;2018-06-01;CANCELAMENTO A PEDIDO;CANCELADA;2018-06-02
MARCELO ROLOFF PACHECO;2008-10-09;2014-07-16;CANCELAMENTO A PEDIDO;CANCELADA;2014-07-16
MARCELO ROTH KUNZLER;2007-10-31;;;EM FUNCIONAMENTO NORMAL;2007-10-31
MARCELO ROZENFELD;2011-04-27;2013-09-30;CANCELAMENTO DE OFÍCIO - NÃO RECADASTRAMENTO ANCORD - INSTR. CVM Nº 497/2011;CANCELADA;2013-09-30
MARCELO RUDGE;2014-01-29;2014-02-09;CANCELAMENTO A PEDIDO;CANCELADA;2014-02-09
MARCELO RUIZ MOCHON;2008-07-02;2013-09-30;CANCELAMENTO DE OFÍCIO - NÃO RECADASTRAMENTO ANCORD - INSTR. CVM Nº 497/2011;CANCELADA;2013-09-30
MARCELO RZEZINSKI;2020-04-03;;;EM FUNCIONAMENTO NORMAL;2020-04-03
MARCELO RZEZINSKI;2010-08-24;2015-09-21;CANCELAMENTO A PEDIDO;CANCELADA;2015-09-21
MARCELO SABAT DOS SANTOS;2004-12-15;2016-12-15;CANCELAMENTO A PEDIDO;CANCELADA;2016-12-16
MARCELO SACIOTO;2009-09-02;2012-03-30;CANCELAMENTO A PEDIDO;CANCELADA;2012-03-30
MARCELO SANT ANA PUGLIA;2019-10-16;;;EM FUNCIONAMENTO NORMAL;2019-10-16
MARCELO SANTIAGO;2019-01-31;;;EM FUNCIONAMENTO NORMAL;2019-01-31
MARCELO SANTIAGO;2010-01-05;2014-04-11;CANCELAMENTO A PEDIDO;CANCELADA;2014-04-11
MARCELO SANTORO;2019-04-25;;;EM FUNCIONAMENTO NORMAL;2019-04-25
MARCELO SANTOS BARBOZA;2017-02-17;;;EM FUNCIONAMENTO NORMAL;2017-02-17
MARCELO SANTOS SILVA;2022-01-28;;;EM FUNCIONAMENTO NORMAL;2022-01-28
MARCELO SARAIVA;2022-03-23;;;EM FUNCIONAMENTO NORMAL;2022-03-23
MARCELO SARTOR;2019-10-21;;;EM FUNCIONAMENTO NORMAL;2019-10-21
MARCELO SASSO PERCHIAVALLI;2013-12-10;2016-05-12;CANCELAMENTO A PEDIDO;CANCELADA;2016-05-12
MARCELO SCHUMANN MAGALHÃES;2009-12-09;2014-05-31;CANCELAMENTO DE OFÍCIO - NÃO RECADASTRAMENTO ANCORD - INSTR. CVM Nº 497/2011;CANCELADA;2014-05-31
MARCELO SEGATO;2021-03-09;;;EM FUNCIONAMENTO NORMAL;2021-03-09
MARCELO SEPULVEDA;2006-07-27;2016-08-24;CANCELAMENTO A PEDIDO;CANCELADA;2016-08-25
MARCELO SERRANO;2010-10-15;;;EM FUNCIONAMENTO NORMAL;2010-10-15
MARCELO SHARP DE FREITAS;2009-03-11;2015-09-30;CANCELAMENTO A PEDIDO;CANCELADA;2015-10-01
MARCELO SILVA;2008-03-27;2013-09-30;CANCELAMENTO DE OFÍCIO - NÃO RECADASTRAMENTO ANCORD - INSTR. CVM Nº 497/2011;CANCELADA;2013-09-30
MARCELO SILVA;2018-08-28;;;EM FUNCIONAMENTO NORMAL;2018-08-28
MARCELO SILVA COSTA;2020-10-09;;;EM FUNCIONAMENTO NORMAL;2020-10-09
MARCELO SILVA GARCIA;2021-02-01;;;EM FUNCIONAMENTO NORMAL;2021-02-01
MARCELO SILVA LEITE;2021-10-15;;;EM FUNCIONAMENTO NORMAL;2021-10-15
MARCELO SILVA MAGALHÃES;2007-05-16;2019-10-22;CANCELAMENTO A PEDIDO;CANCELADA;2019-10-23
MARCELO SIMAS FETTER;2021-10-01;;;EM FUNCIONAMENTO NORMAL;2021-10-01
MARCELO SIMIONATO OTSUKA;2018-08-20;2019-04-24;CANCELAMENTO A PEDIDO;CANCELADA;2019-04-25
MARCELO SIQUEIRA PACOL;2021-06-10;;;EM FUNCIONAMENTO NORMAL;2021-06-10
MARCELO SOARES MORENO;2007-04-25;2018-10-22;CANCELAMENTO A PEDIDO;CANCELADA;2018-10-23
MARCELO SOUSA PRADO FILHO;2019-01-17;;;EM FUNCIONAMENTO NORMAL;2019-01-17
MARCELO STANCARI MAZETO;2020-01-30;;;EM FUNCIONAMENTO NORMAL;2020-01-30
MARCELO STRIULI QUINTAS;2018-11-22;2020-03-29;CANCELAMENTO A PEDIDO;CANCELADA;2020-03-30
MARCELO SUGANUMA;2013-08-27;2021-02-22;CANCELAMENTO A PEDIDO;CANCELADA;2021-02-23
MARCELO SUGUENO;2002-07-26;;;EM FUNCIONAMENTO NORMAL;2002-07-26
MARCELO TADEU DONNICI MAGRI;2003-08-25;2014-04-15;CANCELAMENTO A PEDIDO;CANCELADA;2014-04-15
MARCELO TALARICO;2006-07-27;2013-09-30;CANCELAMENTO DE OFÍCIO - NÃO RECADASTRAMENTO ANCORD - INSTR. CVM Nº 497/2011;CANCELADA;2013-09-30
MARCELO TAMBELLI FRANCISCO;2022-05-02;;;EM FUNCIONAMENTO NORMAL;2022-05-02
MARCELO TECHERA TELLES;2020-12-17;;;EM FUNCIONAMENTO NORMAL;2020-12-17
MARCELO TEIXEIRA AMADO;2019-04-04;2021-06-14;CANCELAMENTO A PEDIDO;CANCELADA;2021-06-15
MARCELO TEIXEIRA BALBI DA SILVA;2019-09-02;2022-04-14;CANCELAMENTO A PEDIDO;CANCELADA;2022-04-15
MARCELO TEIXEIRA BRITO;2021-09-06;;;EM FUNCIONAMENTO NORMAL;2021-09-06
MARCELO TEIXEIRA DE CARVALHO;2020-08-28;;;EM FUNCIONAMENTO NORMAL;2020-08-28
MARCELO TEIXEIRA MANHÃES;2010-09-01;;;EM FUNCIONAMENTO NORMAL;2010-09-01
MARCELO TEIXEIRA MENEGATTO;2010-03-16;2010-09-24;CANCELAMENTO A PEDIDO;CANCELADA;2010-09-24
MARCELO TEIXEIRA MENESES;2019-08-01;;;EM FUNCIONAMENTO NORMAL;2019-08-01
MARCELO TEIXEIRA MONTEIRO;2011-08-11;2013-09-30;CANCELAMENTO DE OFÍCIO - NÃO RECADASTRAMENTO ANCORD - INSTR. CVM Nº 497/2011;CANCELADA;2013-09-30
MARCELO TENORIO BOLOGNESI;2020-02-19;;;EM FUNCIONAMENTO NORMAL;2020-02-19
MARCELO THEODORO PIRES;2019-05-10;;;EM FUNCIONAMENTO NORMAL;2019-05-10
MARCELO TOEWS ROMERO SILVA;2011-01-03;2013-09-30;CANCELAMENTO DE OFÍCIO - NÃO RECADASTRAMENTO ANCORD - INSTR. CVM Nº 497/2011;CANCELADA;2013-09-30
MARCELO TORRES DO NASCIMENTO DEUSDARA;2020-11-30;2022-04-26;CANCELAMENTO A PEDIDO;CANCELADA;2022-04-27
MARCELO TORRES TEIXEIRA;2010-02-24;2021-08-17;CANCELAMENTO A PEDIDO;CANCELADA;2021-08-18
MARCELO TOSCANO SANTOS;2009-08-28;2010-06-23;CANCELAMENTO A PEDIDO;CANCELADA;2010-06-23
MARCELO TOURINHO SANTANA;2018-11-23;2021-07-15;CANCELAMENTO A PEDIDO;CANCELADA;2021-07-16
MARCELO TRINDADE DE SOUSA;2008-05-14;2008-06-30;CANCELAMENTO A PEDIDO;CANCELADA;2008-06-30
MARCELO URBANO DIAS;2006-07-14;2013-03-08;CANCELAMENTO A PEDIDO;CANCELADA;2013-03-08
MARCELO VALDEZ DELGADO;2020-12-16;;;EM FUNCIONAMENTO NORMAL;2020-12-16
MARCELO VALENÇA BACELAR;2009-11-11;2017-09-19;CANCELAMENTO A PEDIDO;CANCELADA;2017-09-20
MARCELO VALEZE TROVO;2019-10-17;;;EM FUNCIONAMENTO NORMAL;2019-10-17
MARCELO VIANNA VIEIRA;2021-03-09;2022-02-04;CANCELAMENTO A PEDIDO;CANCELADA;2022-02-05
MARCELO VÍCTOR PEREIRA DE CARVALHO;2011-10-04;2012-06-29;CANCELAMENTO A PEDIDO;CANCELADA;2012-06-29
MARCELO VILLARINHO CARDOSO MATTA;2010-08-03;2012-09-25;CANCELAMENTO A PEDIDO;CANCELADA;2012-09-25
MARCELO VILLEFORT CAMPOS PARREIRAS E SILVA;2010-08-31;2012-12-28;CANCELAMENTO A PEDIDO;CANCELADA;2012-12-28
MARCELO VILLEFORT CAMPOS PARREIRAS E SILVA;2014-01-24;;;EM FUNCIONAMENTO NORMAL;2018-01-02
MARCELO VITOR PIRES DA ROCHA;2022-01-03;;;EM FUNCIONAMENTO NORMAL;2022-01-03
MARCELO VITÓRIO DE OLIVEIRA;2008-04-25;;;EM FUNCIONAMENTO NORMAL;2008-04-25
MARCELO VOSS;2005-08-09;2009-04-11;CANCELAMENTO POR FALECIMENTO;CANCELADA;2009-04-11
MARCELO WANDERLEY DE OLIVEIRA MIRANDA;2011-12-05;2013-09-30;CANCELAMENTO DE OFÍCIO - NÃO RECADASTRAMENTO ANCORD - INSTR. CVM Nº 497/2011;CANCELADA;2013-09-30
MARCELO WANG;2002-07-12;;;EM FUNCIONAMENTO NORMAL;2002-07-12
MARCELO XAVIER RODRIGUES;2007-11-08;2013-09-30;CANCELAMENTO DE OFÍCIO - NÃO RECADASTRAMENTO ANCORD - INSTR. CVM Nº 497/2011;CANCELADA;2013-09-30
MARCELO XIMENDES DOS SANTOS;2010-06-23;2013-09-30;CANCELAMENTO DE OFÍCIO - NÃO RECADASTRAMENTO ANCORD - INSTR. CVM Nº 497/2011;CANCELADA;2013-09-30
MARCELO YAMAGUTI;2020-11-12;2021-09-08;CANCELAMENTO A PEDIDO;CANCELADA;2021-09-09
MARCELO YAZBEK LUNARDELLI;2019-10-07;;;EM FUNCIONAMENTO NORMAL;2019-10-07
MARCELO YUJI MONTEIRO;2018-02-22;;;EM FUNCIONAMENTO NORMAL;2018-02-22
MARCELUS DOS SANTOS LIMA;2015-12-23;;;EM FUNCIONAMENTO NORMAL;2015-12-23
MARCELY CAROLINE BAENA BRAGA MARÇAL;2012-10-03;;;EM FUNCIONAMENTO NORMAL;2012-10-03
MARCIA ALENCAR DA SILVA;2022-07-19;;;EM FUNCIONAMENTO NORMAL;2022-07-19
MARCIA BARROS BARBOSA;2012-05-31;;;EM FUNCIONAMENTO NORMAL;2012-05-31
MARCIA BEATRIZ ROSA BENTO SOARES;2018-04-23;;;EM FUNCIONAMENTO NORMAL;2018-04-23
MÁRCIA BERTOLDO SEVERO;2020-10-06;2021-12-02;CANCELAMENTO A PEDIDO;CANCELADA;2021-12-03
MARCIA CORAZZA;2006-10-03;2013-02-01;CANCELAMENTO A PEDIDO;CANCELADA;2013-02-01
MARCIA CORREA DE SOUSA MOREIRA;2020-01-07;;;EM FUNCIONAMENTO NORMAL;2020-01-07
MARCIA CRISTINA GATTAMORTA;2021-08-19;;;EM FUNCIONAMENTO NORMAL;2021-08-19
MARCIA CRISTINA PEREIRA PINTO;2017-04-03;2017-09-29;CANCELAMENTO A PEDIDO;CANCELADA;2017-09-30
MARCIA DE SOUZA;2021-01-11;;;EM FUNCIONAMENTO NORMAL;2021-01-11
MARCIA DULLIUS;2021-03-04;;;EM FUNCIONAMENTO NORMAL;2021-03-04
MARCIA FERNANDA BRAGA ROCHA;2020-12-23;;;EM FUNCIONAMENTO NORMAL;2020-12-23
MARCIA FRANCLIN SOARES URBANI;2020-07-17;;;EM FUNCIONAMENTO NORMAL;2020-07-17
MARCIA HELENA DE OLIVEIRA FALEIRO;2021-06-21;;;EM FUNCIONAMENTO NORMAL;2021-06-21
MARCIA KORN;2019-10-03;;;EM FUNCIONAMENTO NORMAL;2019-10-03
MARCIA MACENA VIANA MELO;2019-04-12;2020-06-11;CANCELAMENTO A PEDIDO;CANCELADA;2020-06-12
MARCIA MARIA DA SILVA GUERRA DE AZEVEDO;2022-03-16;;;EM FUNCIONAMENTO NORMAL;2022-03-16
MÁRCIA MARIA DO NASCIMENTO MARQUES;2022-02-16;;;EM FUNCIONAMENTO NORMAL;2022-02-16
MARCIA MARIA MACEDO GREGORIO;2019-04-17;;;EM FUNCIONAMENTO NORMAL;2019-04-17
MARCIA MARIA SALES TELES DE MENEZES;2020-10-05;;;EM FUNCIONAMENTO NORMAL;2020-10-05
MÁRCIA MARIA SNOECK SCHWEBEL;2022-05-11;;;EM FUNCIONAMENTO NORMAL;2022-05-11
MARCIA MAURA DE MOURA;2020-03-09;2021-12-21;CANCELAMENTO A PEDIDO;CANCELADA;2021-12-22
MARCIA MAYUMI MATSUOKA SANTOS;2021-10-19;;;EM FUNCIONAMENTO NORMAL;2021-10-19
MARCIA MIDORI FUKUNO SASAKI;2009-09-02;2016-07-22;CANCELAMENTO A PEDIDO;CANCELADA;2016-07-23
MARCIA PEREIRA DE OLIVEIRA CRUZ;2020-03-11;;;EM FUNCIONAMENTO NORMAL;2020-03-11
MARCIA RACHEL BENSOUSSAN CHATAH;2020-12-23;;;EM FUNCIONAMENTO NORMAL;2020-12-23
MARCIA REGIA DE LIMA DANTAS;2021-09-10;;;EM FUNCIONAMENTO NORMAL;2021-09-10
MARCIA REGIA DE LIMA DANTAS;2008-11-06;2012-12-28;CANCELAMENTO A PEDIDO;CANCELADA;2012-12-28
MARCIA REGINA BORBA DORNELLES;2022-06-06;;;EM FUNCIONAMENTO NORMAL;2022-06-06
MARCIA REGINA DE OLIVEIRA GUERRA CAC;2021-11-17;;;EM FUNCIONAMENTO NORMAL;2021-11-17
MARCIA REGINA ESCARATTE;2021-10-26;;;EM FUNCIONAMENTO NORMAL;2021-10-26
MÁRCIA REGINA TOLEDO SARTORI;2022-04-25;;;EM FUNCIONAMENTO NORMAL;2022-04-25
MARCIA SANTOS FONSECA;2021-03-01;;;EM FUNCIONAMENTO NORMAL;2021-03-01
MARCIA SCAF PINAUD CERRI COSTA;2007-10-30;2010-06-30;CANCELAMENTO A PEDIDO;CANCELADA;2010-06-30
MARCIA SCATENA;2007-05-04;2007-06-27;CANCELAMENTO A PEDIDO;CANCELADA;2007-06-27
MARCIA SIVIERI;2019-05-16;;;EM FUNCIONAMENTO NORMAL;2019-05-16
MÁRCIA TEIXEIRA BORGES;2022-08-11;;;EM FUNCIONAMENTO NORMAL;2022-08-11
MARCIA VALÉRIA SCARAMELA;2009-01-08;2019-10-23;CANCELAMENTO A PEDIDO;CANCELADA;2019-10-24
MARCIA VIRGINIA DE ALMEIDA ZANOTELLI;2019-08-29;;;EM FUNCIONAMENTO NORMAL;2019-08-29
MARCIA WALDIRENE GERMANO LIRA;2019-02-11;;;EM FUNCIONAMENTO NORMAL;2019-02-11
MARCIANO NICOLAU DE MATOS;2008-02-27;2015-05-11;CANCELAMENTO A PEDIDO;CANCELADA;2015-05-11
