CNPJ;DENOM_SOCIAL;DENOM_COMERC;DT_REG;DT_CANCEL;MOTIVO_CANCEL;SIT;DT_INI_SIT;TP_ENDER;LOGRADOURO;COMPL;BAIRRO;MUN;UF;CEP;DDD;TEL;EMAIL;SITE_ADMIN
17.249.220/0001-56;MARIO PEKELMANN MARKUS - AGENTE AUTONOMO DE INVESTIMENTO;MARIO PEKELMANN MARKUS - AGENTE AUTONOMO DE INVESTIMENTO;2013-01-11;2014-09-19;CANCELAMENTO A PEDIDO;CANCELADA;2014-09-19;SEDE;RUA: DOUTOR ANTONIO GONTIJO DE CARVALHO;86;JARDIM CORDEIRO;SÃO PAULO;SP;4640190;11;96458385;mmarkus@convencao.com.br;
11.462.571/0001-64;MARION ZANETTI GOMES AGENTE AUTONOMA DE INVESTIMENTOS;MARION ZANETTI GOMES AGENTE AUTONOMA DE INVESTIMENTOS;2010-05-13;2016-06-01;CANCELAMENTO A PEDIDO;CANCELADA;2016-06-01;SEDE;AV SOUZA NAVES, 3899;;CHAPADA;PONTA GROSSA;PR;84062000;42;32399565;seiva.seiva@uol.com.br;
60.741.410/0001-15;MARISCO AGENTES AUTONOMOS DE INVESTIMENTOS LTDA.;;2006-11-09;2008-09-26;EXTINÇÃO;CANCELADA;2008-09-26;SEDE;RUA DESEMBARGADOR SYLOS CINTRA;Nº 31;JARDIM CORDEIRO;SÃO PAULO;SP;4640054;11;30489764;varellapinhal@uol.com.br;
10.321.304/0001-04;MARKET INVEST AGENTE AUTÔNOMO DE INVESTIMENTOS - EIRELI;MARKET INVEST AGENTE AUTÔNOMO DE INVESTIMENTOS - EIRELI;2008-10-30;;;EM FUNCIONAMENTO NORMAL;2008-10-30;SEDE;RUA MARIA CLEOFAS;122/01;PARQUE PAULISTINHA;SÃO PAULO;SP;4812330;11;21420558;lsantos@spinelli.com.br;
00.195.070/0001-42;MARKET MAKER ASSOCIADOS AGENTES AUTONOMOS DE INVESTIMENTOS EIRELI-EPP;MARKET MAKER ASSOCIADOS AGENTES AUTONOMOS DE INVESTIMENTOS EIRELI-EPP;2007-05-15;;;EM FUNCIONAMENTO NORMAL;2007-05-15;SEDE;AVENIDA NILO PEÇANHA,;50/GRUPO 817;CENTRO;RIO DE JANEIRO;RJ;20020100;21;3607259;coutorj1@hotmail.com;
10.382.811/0001-58;MARKET SPECIALIST AGENTES AUTÔNOMOS DE INVESTIMENTOS LTDA;;2008-12-02;2016-10-10;CANCELAMENTO A PEDIDO;CANCELADA;2016-10-11;SEDE;AVENIDA SAPOPEMBA;2323;VILA REGENTE FEIJO;SÃO PAULO;SP;3345001;11;35133080;marketspecialistaai@gmail.com;
05.334.717/0001-93;MARKET STAR  AGENTES  AUTÔNOMOS DE INVESTIMENTOS LTDA;;2002-11-08;2009-05-06;EXTINÇÃO;CANCELADA;2009-05-06;SEDE;AV. CAP. FRANCISCO INÁCIO, 126;;CENTRO;POÁ;SP;8551150;11;37048918;alkindar.sanches@agorasenior.com.br   e rmg.audito;
21.756.813/0001-86;MARKETWATCH AGENTE AUTONOMO DE INVESTIMENTO EIRELI - ME;MARKETWATCH AGENTE AUTONOMO DE INVESTIMENTOS;2015-02-12;2015-08-04;CANCELAMENTO A PEDIDO;CANCELADA;2015-08-05;SEDE;R ANTONIO JULIO DOS SANTOS;287 - APT: 906;FAZENDA MORUMBI;SÃO PAULO;SP;5661020;11;26380238;fktamaki@gmail.com;
07.366.984/0001-78;MARPE - AGENTE AUTONOMO DE INVESTIMENTOS LTDA;;2007-09-24;2013-09-30;CANCELAMENTO DE OFÍCIO - NÃO RECADASTRAMENTO ANCORD - INSTR. CVM Nº 497/2011;CANCELADA;2013-09-30;SEDE;RUA TUIUTI, 2358;0/CONJ. 06;TATUAPE;SÃO PAULO;SP;3307000;11;62253133;andrerotta@bcsul.com.br;importacao
10.416.476/0001-61;MARSAIOLI AGENTE AUTÔNOMO DE INVESTIMENTOS LTDA;;2008-12-23;2009-07-20;EXTINÇÃO;CANCELADA;2009-07-20;SEDE;RUA CORONEL QUIRINO, 1.114;APTO. 81;CAMBUÍ;CAMPINAS;SP;13054002;11;31043229;luis_marsaioli@hotmail.com;
13.568.343/0001-07;MARSAN AGENTE AUTONOMO DE INVESTIMENTOS - EIRELI;;2011-08-18;2014-10-27;CANCELAMENTO A PEDIDO;CANCELADA;2014-10-27;SEDE;RUA NOVA ERA - 418;;CAMPO GRANDE;RIO DE JANEIRO;RJ;23070300;21;35133000;mmanso@bgcpartners.com;
32.418.276/0001-80;MARSCHE AGENTE AUTONOMO DE INVESTIMENTO S/S LTDA;MARSCHE AGENTE AUTONOMO DE INVESTIMENTO S/S LTDA;2019-01-21;;;EM FUNCIONAMENTO NORMAL;2019-01-21;SEDE;RUA BARÃO DO TRIUNFO 612;CONJ 2202;BROOKLIN PAULISTA;SÃO PAULO;SP;4602002;11;48612208;contato@marscheinvest.com.br;
45.507.991/0001-31;MARTELLO INVESTIMENTOS - AGENTES AUTONOMOS DE INVESTIMENTO S/S LTDA;MARTELLO INVESTIMENTOS - AGENTES AUTONOMOS DE INVESTIMENTO S/S LTDA;2022-03-18;;;EM FUNCIONAMENTO NORMAL;2022-03-18;SEDE;AVENIDA PAULISTA 1636;CONJ 04 PAVLH 15;BELA VISTA;SÃO PAULO;SP;1310200;11;94605155;martelloinvest@gmail.com;
11.879.687/0001-01;MARTIN & FERREIRA - AGENTE AUTÔNOMO DE INVESTIMENTOS LTDA;;2010-09-01;2013-09-30;CANCELAMENTO DE OFÍCIO - NÃO RECADASTRAMENTO ANCORD - INSTR. CVM Nº 497/2011;CANCELADA;2013-09-30;SEDE;RUA LAÉRCIO MONZANI, 486 B;;PQ. TROPICAL;CAMPINAS;SP;13060533;19;32275034;atitudeinvestimentos@hotmail.com;
08.415.444/0001-08;MARUI AGENTE AUTONOMO DE INVESTIMENTOS LTDA;MARUI AGENTE AUTONOMO DE INVESTIMENTOS LTDA;2006-12-06;2015-12-21;CANCELAMENTO A PEDIDO;CANCELADA;2015-12-22;SEDE;RUA BANDEIRA DO SUL 94 283647;;ANIL;RIO DE JANEIRO;RJ;22750400;21;22207417;ruipinto@maruiinvest.com.br;http://www.maruiinvest.com.br
04.141.961/0001-77;MASSARI AGENTE AUTONOMO DE INVESTIMENTO -EIRELI;MASSARI AGENTE AUTONOMO DE INVESTIMENTO EIRELI;2006-07-20;2015-06-23;CANCELAMENTO A PEDIDO;CANCELADA;2015-06-24;SEDE;RUA SÃO VICENTE DE PAULA;435/APTO 82;SANTA CECÍLIA;SÃO PAULO;SP;1229010;11;30325508;raphaelchayo@hotmail.com;
30.888.106/0001-34;MASTER INVESTIMENTOS AGENTE AUTÔNOMO DE INVESTIMENTOS LTDA;MASTER INVESTIMENTOS AGENTE AUTÔNOMO DE INVESTIMENTOS LTDA;2018-10-26;2021-05-10;CANCELAMENTO A PEDIDO;CANCELADA;2021-05-11;SEDE;AVENIDA DAS NAÇÕES UNIDAS 12495 AVENIDA DAS NAÇÕES UNIDAS 12495;15º ANDAR;BROOKLIN PAULISTA;SÃO PAULO;SP;4578000;11;25059111;ecarmona@masterinvestimentos.com;
07.837.410/0001-30;MASTER SOCIEDADE DE AGENTES AUTÔNOMOS DE INVESTIMENTO LTDA;MASTER SOCIEDADE DE AGENTES AUTÔNOMOS DE INVESTIMENTO LTDA;2006-05-10;2015-01-22;CANCELAMENTO A PEDIDO;CANCELADA;2015-01-23;SEDE;RUA CORONEL MELO DE OLIVEIRA;915/ap106;PERDIZES;SÃO PAULO;SP;5011040;11;30553806;pedroluislopes@hotmail.com;
07.813.347/0001-00;MASTTER 1000 AGENTES AUTÔNOMOS DE INVESTIMENTOS LTDA;MASTTER 1000 AGENTES AUTÔNOMOS DE INVESTIMENTOS LTDA;2006-04-26;;;EM FUNCIONAMENTO NORMAL;2006-04-26;SEDE;RUA FRANCISCO SÁ;105/Sala 1003;COPACABANA;RIO DE JANEIRO;RJ;22080010;021;25406661;cadu_sottomaior@hotmail.com;
24.734.979/0001-90;MATA MACEDO AGENTE AUTONOMO DE INVESTIMENTO EIRELI - EPP;MATA MACEDO AGENTE AUTONOMO DE INVESTIMENTO EIRELI - EPP;2017-01-17;2017-08-07;CANCELAMENTO A PEDIDO;CANCELADA;2017-08-08;SEDE;Avenida Generalíssimo Deodoro;1683/sala 604;Nazaré;BELÉM;PA;66040140;91;32228385;frederico.rodrigues@samaumainvestimentos.com.;http://samaumainvestimentos.com.br
18.537.772/0001-22;MATHEUS T. GUIMARAES AGENTE AUTONOMO DE INVESTIMENTOS EIRELI ME;MATHEUS T. GUIMARAES AGENTE AUTONOMO DE INVESTIMENTOS EIRELI ME;2013-10-30;2017-12-31;CANCELAMENTO A PEDIDO;CANCELADA;2018-01-01;SEDE;RUA: DR. NILO PEÇANHA;80/SALA: 807;INGÁ;NITERÓI;RJ;24210480;21;91772241;matheusdown@hotmail.com;
29.835.148/0001-28;MATRICE - AGENTE AUTONOMO DE INVESTIMENTO S/S LTDA;MATRICE - AGENTE AUTONOMO DE INVESTIMENTO S/S LTDA;2018-05-07;;;EM FUNCIONAMENTO NORMAL;2018-05-07;SEDE;SHN;Quadra 1 Bloco A CONJ A ENTRADA A/ 1414;Asa Norte;BRASÍLIA;DF;70701010;61;33226639;matrice@matriceinvest.com.br;www.matriceinvest.com.br
40.984.199/0001-54;MATRIZ CAPITAL AGENTE AUTONOMO DE INVESTIMENTO LTDA;MATRIZ CAPITAL AGENTE AUTONOMO DE INVESTIMENTO LTDA;2021-03-03;;;EM FUNCIONAMENTO NORMAL;2021-03-03;SEDE;RUA GOMES DE CARVALHO 1507 CJ 1511 - BLOCO A/B;;VILA OLÍMPIA;SÃO PAULO;SP;4547005;11;47700954;dyegoph@matrizcapital.com.br;
10.332.216/0001-08;MATTERHORN AGENTES AUTÔNOMOS DE INVESTIMENTOS LTDA.;;2009-04-15;2019-09-26;CANCELAMENTO A PEDIDO;CANCELADA;2019-09-27;SEDE;RUA DR BARBOSA GONÇALVES;633;CHÁCARA DAS PEDRAS;PORTO ALEGRE;RS;91330320;51;35172066;guilherme@mhorn.com.br;www.mhorn.com.br
10.562.480/0001-38;MATULAITIS AGENTES AUTONOMOS DE INVESTIMENTOS LTDA;;2009-03-19;2011-01-20;CANCELAMENTO/MUDANÇA DE OBJETIVOS SOCIAIS;CANCELADA;2011-01-20;SEDE;RUA BELO HORIZONTE, 1356;AP 502;CENTRO;LONDRINA;PR;86020060;43;33225887;vitorcruciol@hotmail.com;
23.649.856/0001-98;MAURICIO LEILA AGENTE AUTÔNOMO DE INVESTIMENTO - ME;**********;2015-12-11;2018-02-16;CANCELAMENTO A PEDIDO;CANCELADA;2018-02-17;SEDE;RUA BAHIA 543;131;HIGIENÓPOLIS;SÃO PAULO;SP;1244001;11;36618094;mauricioleila@gmail.com;
04.732.093/0001-08;MAURO ULIAN AGENTE AUTONOMO DE INVESTIMENTOS -EIRELI;MAURO ULIAN AGENTE AUTONOMO DE INVESTIMENTOS -EIRELI;2009-09-02;2022-07-18;CANCELAMENTO A PEDIDO;CANCELADA;2022-07-19;SEDE;RUA ANTONIO TARIFA VARGAS 75;;JARDIM SINUELO;ASTORGA;PR;86730000;44;33041615;mauroulian@hotmail.com;
30.779.330/0001-98;MAWAY AGENTE AUTONOMO DE INVESTIMENTOS LTDA;MAWAY INVESTIMENTOS AGENTE AUTONOMO DE INVESTIMENTOS;2018-07-19;;;EM FUNCIONAMENTO NORMAL;2018-07-19;SEDE;RUA OSWALDO PAES 53;203;BARRA DA TIJUCA;RIO DE JANEIRO;RJ;22620000;21;91806867;tsilva@maway.com.br;
11.492.016/0001-85;MAX INVESTIMENTOS AGENTE AUTONOMO DE INVESTIMENTOS LTDA;;2010-07-02;2013-09-30;CANCELAMENTO DE OFÍCIO - NÃO RECADASTRAMENTO ANCORD - INSTR. CVM Nº 497/2011;CANCELADA;2013-09-30;SEDE;AV. 7 DE SETEMBRO, 71 LOJA 9-B;ED. EXECUTIVO;CENTRO;SALVADOR;BA;40060000;71;30116145;andrealirio@maxinvestimentos.com;
29.845.847/0001-59;MAXI CAPITAL AGENTE AUTÔNOMO DE INVESTIMENTOS S/S LTDA;MAXI CAPITAL AGENTE AUTÔNOMO DE INVESTIMENTOS S/S LTDA;2018-04-10;2019-02-07;CANCELAMENTO A PEDIDO;CANCELADA;2019-02-08;SEDE;Avenida Brasil;1500/SL706 - NY;Santo Antônio;AMERICANA;SP;13465770;19;36450800;michel.carvalho@maxicapital.com.br;
13.358.589/0001-46;MAXI INVEST AGENTE AUTONOMO DE INVESTIMENTOS LTDA;;2011-06-07;2015-09-03;EXTINÇÃO;CANCELADA;2015-09-03;SEDE;FARNESE, 199;7 ANDAR;BELA VISTA;PORTO ALEGRE;RS;90450180;51;33338155;cecastroamado@gmail.com;
10.716.333/0001-75;MAXI TRADE AGENTE AUTONOMO DE INVESTIMENTOS LTDA;MAXI TRADE AGENTE AUTONOMO DE INVESTIMENTOS LTDA;2009-10-07;2018-08-13;CANCELAMENTO A PEDIDO;CANCELADA;2018-08-14;SEDE;AV GENARO DE CARVALHO;1201 - BL.5/ 106;RECREIO DOS BANDEIRANTES;RIO DE JANEIRO;RJ;22795076;21;24955569;mmarques@bisarabsports.com.br;
16.652.043/0001-91;MAXICAPITAL AGENTE AUTONOMO DE INVESTIMENTOS EIRELI;;2012-10-18;2017-10-30;CANCELAMENTO A PEDIDO;CANCELADA;2017-10-31;SEDE;AV BRASIL, 1500  EDIF NEW YORK;BLOCO 2 SALA 706;VILA FREZZARIM;AMERICANA;SP;13465770;19;36450800;michel.carvalho@maxicapital.com.br;www.maxicapital.com.br
10.521.806/0001-89;MAXIME AGENTE AUTÔNOMO DE INVESTIMENTOS LTDA;;2009-07-01;2013-12-03;CANCELAMENTO A PEDIDO;CANCELADA;2013-12-03;SEDE;RUA JABOATÃO, 542;APTO. 76-A;CASA VERDE;SÃO PAULO;SP;2516000;11;36219588;audcontsp@uol.com.br;
10.733.240/0001-59;MAXIMO AGENTE AUTONOMO DE INVESTIMENTO - EIRELI - EPP;MAXIMO AGENTE AUTONOMO DE INVESTIMENTO - EIRELI - EPP;2009-10-14;2015-06-07;CANCELAMENTO A PEDIDO;CANCELADA;2015-06-08;SEDE;RUA CROMINIA, 62;;VL FORMOSA;SÃO PAULO;SP;3414090;11;35133027;amaximo@arkhe.com.br;
46.073.723/0001-11;MAXIMUM CAPITAL AGENTES AUTONOMOS DE INVESTIMENTOS LTDA;MAXIMUM CAPITAL AGENTES AUTONOMOS DE INVESTIMENTOS LTDA;2022-05-19;;;EM FUNCIONAMENTO NORMAL;2022-05-19;SEDE;QUADRA ARSE 21 ALAMEDA CURIÓ 7;SALA 09;PLANO DIRETOR SUL;PALMAS;TO;77020472;63;32163066;maximuminvest@outlook.com;
14.081.505/0001-32;MAXIMUS REDITUS AGENTES AUTÔNOMOS DE INVESTIMENTOS LTDA;;2011-10-18;2012-06-14;CANCELAMENTO/MUDANÇA DE OBJETIVOS SOCIAIS;CANCELADA;2012-06-14;SEDE;RUA GENERAL MARCELINO, 73;APTO. 402;TIJUCA;RIO DE JANEIRO;RJ;20550060;21;25243355;edgard@prolink.com.br;
11.499.601/0001-07;MAXPROFIT AGENTE AUTONOMO DE INVESTIMENTOS LTDA.;;2010-04-28;2013-09-30;CANCELAMENTO DE OFÍCIO - NÃO RECADASTRAMENTO ANCORD - INSTR. CVM Nº 497/2011;CANCELADA;2013-10-01;SEDE;RUA PARAIBA, 1535;;CENTRO;AVARÉ;SP;18705140;14;37311394;enaldo@yahoo.com;
30.130.919/0001-60;MAYOR INVESTIMENTOS - AGENTE AUTONOMO DE INVESTIMENTOS;MAYOR INVESTIMENTOS - AGENTE AUTONOMO DE INVESTIMENTOS;2018-04-13;2022-02-10;CANCELAMENTO A PEDIDO;CANCELADA;2022-02-11;SEDE;RUA VINTE E SEIS 224;B;ILHA DOS ARAÚJOS;GOVERNADOR VALADARES;MG;35020630;33;99122359;andre@mayorinvestimentos.com;mayorinvestimentos.com
29.478.107/0001-21;MAZAL - AGENTE AUTONOMO DE INVESTIMENTO LTDA;MAZAL - AGENTE AUTONOMO DE INVESTIMENTO LTDA;2018-02-19;;;EM FUNCIONAMENTO NORMAL;2018-02-19;SEDE;Alameda Ministro Rocha Azevedo;456/1002;Cerqueira César;SÃO PAULO;SP;1410000;11;30609000;financeiro@constanciainvest.com.br;
19.952.101/0001-90;MB MULTIVALOR INVEST AGENTE AUTONOMO DE INVESTIMENTO -- EIRELI;MB MULTIVALOR INVEST AGENTE AUTONOMO DE INVESTIMENTO - EIRELI;2014-04-04;2015-12-21;CANCELAMENTO A PEDIDO;CANCELADA;2015-12-22;SEDE;RUA ANTONIO DE BARROS 2526;APTO 161;VILA CARRAO;SÃO PAULO;SP;3401001;11;33856701;carlosxoliveira@uol.com.br;
13.712.261/0001-86;MB PRIME AGENTE AUTÔNOMO DE INVESTIMENTOS LTDA.;MB PRIME AGENTE AUTÔNOMO DE INVESTIMENTOS LTDA.;2011-07-14;2015-06-08;CANCELAMENTO A PEDIDO;CANCELADA;2015-06-08;SEDE;PRAÇA SILVIO ROMERO 55;CONJ. 83;TATUAPE;SÃO PAULO;SP;3323000;11;25484807;opc1@terra.com.br;
12.018.549/0001-92;MBARBATI - AGENTE AUTÔNOMO DE INVESTIMENTOS EIRELI;MBARBATI - AGENTE AUTÔNOMO DE INVESTIMENTOS EIRELI;2010-10-05;2014-09-18;CANCELAMENTO A PEDIDO;CANCELADA;2014-09-18;SEDE;RUA VINTE NOVE DE OUTUBRO 377;APTO. 153;VILA MATILDE;SÃO PAULO;SP;3510000;11;30452023;marianna@maribarbati.com;
03.643.535/0001-79;MBI AGENTES AUTÔNOMOS DE INVESTIMENTOS LTDA.;;2005-08-11;2008-08-21;EXTINÇÃO;CANCELADA;2008-08-21;SEDE;RUA PANTOJO, 1044;ANEXO 6;VILA REJENTE FEIJO;SÃO PAULO;SP;3343000;11;69650202;contabil@davidferrari.com.br;
41.535.988/0001-70;MBR AGENTE AUTONOMO DE INVETIMENTOS EIRELI;MBR AGENTE AUTONOMO DE INVETIMENTOS EIRELI;2021-08-11;2021-12-31;CANCELAMENTO A PEDIDO;CANCELADA;2022-01-01;SEDE;TRAVESSA RENATO PACHECO MARQUES 80;TÉRREO FUNDOS;FONSECA;NITERÓI;RJ;24120200;;;priscillarocha@me.com;
11.815.258/0001-62;MBRASIL INVEST AGENTE AUTONOMO DE INVESTIMENTOS LTDA;;2010-08-03;2013-10-17;CANCELAMENTO A PEDIDO;CANCELADA;2013-10-17;SEDE;RUA ALVARO MOREIRA, 129;;BARRA DA TIJUCA;RIO DE JANEIRO;RJ;22630160;21;24343325;mbrasil@superig.com.br;
09.357.129/0001-26;MBX AGENTE AUTÔNOMO DE INVESTIMENTOS LTDA - ME;;2008-04-15;2008-12-03;EXTINÇÃO;CANCELADA;2008-12-03;SEDE;AVENIDA 39;0.170;PRIMAVERA;BARRETOS;SP;14780727;017;33220871;gustavo@eum.com.br;
09.243.925/0001-38;MC PRANDINA AGENTES AUTONOMOS DE INVESTIMENTOS LTDA;MC PRANDINA AGENTES AUTONOMOS DE INVESTIMENTOS LTDA;2008-03-20;2016-02-16;CANCELAMENTO A PEDIDO;CANCELADA;2016-02-17;SEDE;RUA HADDOCK LOBO, 846 283647;CJ 401;CERQUEIRA CESAR;SÃO PAULO;SP;1414000;11;30747095;mara.prandina@terra.com.br;
08.030.800/0001-67;MCA AGENTES AUTÔNOMOS DE INVESTIMENTOS LTDA;MCA AGENTES AUTÔNOMOS DE INVESTIMENTOS LTDA;2007-01-23;;;EM FUNCIONAMENTO NORMAL;2007-01-23;SEDE;RUA DR LUIZ JANUÁRIO;406/SALA 201 - PARTE;CENTRO;SAQUAREMA;RJ;28990790;21;25094869;delgaudio@uol.com.br;
27.594.859/0001-22;MCFM AGENTE AUTONOMO DE INVESTIMENTOS EIRELI;MCFM AGENTE AUTONOMO DE INVESTIMENTOS EIRELI;2017-05-19;;;EM FUNCIONAMENTO NORMAL;2017-05-19;SEDE;R: Conde de Bonfim;101/202;Tijuca;RIO DE JANEIRO;RJ;20520050;21;998717356;mcrisfmattos@gmail.com;
05.897.153/0001-05;MCHG AGENTES AUTÔNOMOS DE INVESTIMENTOS LTDA;;2003-12-04;;;EM FUNCIONAMENTO NORMAL;2003-12-04;SEDE;RUA ALMIRANTE INHAUMA;400/;ALTO DA LAPA;SÃO PAULO;SP;5084030;11;30499510;ccalsavara@bancofator.com.br;
10.449.193/0001-16;MCI CAPITAL AGENTES AUTÔNOMOS DE INVESTIMENTOS S/S LTDA;MCI CAPITAL AGENTES AUTÔNOMOS DE INVESTIMENTOS S/S LTDA;2009-07-01;;;EM FUNCIONAMENTO NORMAL;2009-07-01;SEDE;RUA PROFESSORA MARIA ESTHER DA COSTA BARROS 183;QUADRA 23;JATIÚCA;MACEIÓ;AL;57036840;082;32313225;edsonholanda@mcicapital.com.br;
08.312.742/0001-64;MCJR AGENTE AUTONOMO DE INVESTIMENTO EIRELI.;MCJR AGENTE AUTONOMO DE INVESTIMENTO EIRELI.;2006-11-21;2016-09-23;CANCELAMENTO A PEDIDO;CANCELADA;2016-09-24;SEDE;RUA MONTE MANDIRA, 2150;APTO. 22 BL. 05;JD. NOVE DE JULHO;SÃO PAULO;SP;3951110;11;99452106;cbgbrito@ig.com.br;
06.965.395/0001-43;MCK AGENTE AUTÔNOMO DE INVESTIMENTOS EIRELI;MCK AGENTE AUTÔNOMO DE INVESTIMENTOS EIRELI;2004-10-13;2016-04-12;CANCELAMENTO A PEDIDO;CANCELADA;2016-04-12;SEDE;RUA JUBIABÁ;145/;VILA MADALENA;SÃO PAULO;SP;5444030;11;30317959;moraes_barros@yahoo.com.br;
11.137.448/0001-78;MCK INVEST - AGENTE AUTÔNOMO DE INVESTIMENTOS LTDA;MCK INVEST - AGENTE AUTÔNOMO DE INVESTIMENTOS LTDA;2012-02-28;;;EM FUNCIONAMENTO NORMAL;2012-02-28;SEDE;RUA CANADÁ 865;;JARDIM AMÉRICA;SÃO PAULO;SP;1436000;11;27873086;bantel@mckinvest.com.br;
08.548.122/0001-29;MCN AGENTE AUTONOMO DE INVESTIMENTOS LTDA;;2007-01-24;2013-09-30;CANCELAMENTO DE OFÍCIO - NÃO RECADASTRAMENTO ANCORD - INSTR. CVM Nº 497/2011;CANCELADA;2013-09-30;SEDE;RUA DR. LUIZ JANUARIO Nº 406;SALA 201 PARTE;CENTRO;SAQUAREMA;RJ;28990000;21;26240556;luiz.nogueira@bcsul.com.br;
11.750.093/0001-98;MCVFV AGENTE AUTONOMO DE INVESTIMENTO LTDA.;;2010-05-13;2010-12-28;CANCELAMENTO/MUDANÇA DE OBJETIVOS SOCIAIS;CANCELADA;2010-12-28;SEDE;R. ARQUITETO JAIME FONSECA 364;;ALTO DE PINHEIROS;SÃO PAULO;SP;5446000;11;38421122;fernando.vaiksnoras@flowcm.com.br;
08.583.612/0001-66;MD LOBATO - AGENTE AUTONOMO DE INVESTIMENTOS LTDA;;2007-02-26;2008-12-23;EXTINÇÃO;CANCELADA;2008-12-23;SEDE;R REGOCIANO DE OLIVEIRA, 130;SALA 01 PARTE;BACAXA;SAQUAREMA;RJ;28993000;21;34748240;dinalobato@terra.com.br;
11.002.929/0001-76;MD11 AGENTE AUNTONOMO DE INVESTIMENTOS S/S;MD11 AGENTE AUNTONOMO DE INVESTIMENTOS S/S;2009-09-22;2016-06-30;CANCELAMENTO A PEDIDO;CANCELADA;2016-07-01;SEDE;AV SANTOS DUMONT, 2727;LOJA 04 E 05;ALDEOTA;FORTALEZA;CE;60150161;085;34612221;saulohard@hotmail.com;
08.936.583/0001-79;MDC AGENTE AUTÔNOMO DE INVESTIMENTO LTDA;;2007-10-05;2013-09-30;CANCELAMENTO DE OFÍCIO - NÃO RECADASTRAMENTO ANCORD - INSTR. CVM Nº 497/2011;CANCELADA;2013-09-30;SEDE;RUA PEIXOTO GOMIDE, 1014;APTO 8C SALA 01;CERQUERIA CESAR;SÃO PAULO;SP;1409000;11;32860773;dlmontezuma@bol.com.br;
16.749.520/0001-31;MDC PHOENIX AGENTE AUTÔNOMO DE INVESTIMENTOS EIRELI;;2012-10-31;2017-12-26;CANCELAMENTO A PEDIDO;CANCELADA;2017-12-27;SEDE;RUA DA REPÚBLICA,379;602;CIDADE BAIXA;PORTO ALEGRE;RS;90050321;51;81161912;jroberto1959@yahoo.com.br;
29.566.348/0001-22;MDM CAPITAL AGENTE AUTONOMO DE INVESTIMENTO LTDA.;MDM CAPITAL AGENTE AUTONOMO DE INVESTIMENTO LTDA.;2018-04-24;2019-07-16;CANCELAMENTO A PEDIDO;CANCELADA;2019-07-17;SEDE;Rua Elvira Ferraz;250/cj 109;Vila Olímpia;SÃO PAULO;SP;4552040;11;45506571;antonio@mdmaai.com.br;
11.076.412/0001-21;MDZ AGENTES AUTÔNOMOS DE INVESTIMENTOS LTDA;;2009-10-29;2012-09-17;CANCELAMENTO/MUDANÇA DE OBJETIVOS SOCIAIS;CANCELADA;2012-09-17;SEDE;R MONTES CLAROS;Nº 1276;ANCHIETA;BELO HORIZONTE;MG;30310370;31;88308012;marinagoulartp@gmail.com;
06.235.111/0001-63;MECA AGENTES AUTONOMOS DE INVESTIMENTOS LTDA.;;2004-07-12;2012-06-25;EXTINÇÃO;CANCELADA;2012-06-25;SEDE;AVENIDA JURUCÊ, 144;AP 71;INDIANÓPOLIS;SÃO PAULO;SP;4080010;11;33728318;lr_menezes@hotmail.com;
06.018.726/0001-38;MEDALLION AGENTES AUTONOMOS DE INVESTIMENTOS LTDA;;2004-02-02;2013-05-07;CANCELAMENTO A PEDIDO;CANCELADA;2013-05-07;SEDE;RUA SOROCABA,;179/BL. 1 - APTO 101;BOTAFOGO;RIO DE JANEIRO;RJ;22271110;21;35757033;joao.matos@socopa.com.br;
24.079.710/0001-17;MEDCAPITAL AGENTES AUTÔNOMOS DE INVESTIMENTOS LTDA - ME;MEDCAPITAL AGENTES AUTÔNOMOS DE INVESTIMENTOS LTDA - ME;2016-02-26;2020-03-18;CANCELAMENTO A PEDIDO;CANCELADA;2020-03-19;SEDE;RUA ILACIR PEREIRA LIMA;195/Sala 504;SILVEIRA;BELO HORIZONTE;MG;31140540;31;99751912;gustavo.bonfim@medcapitalaai.com.br;
25.377.242/0001-20;MEDICI'S INVESTIMENTOS AGENTE AUTONOMO DE INVESTIMENTO EIRELI ME;MEDICI'S INVESTIMENTOS AGENTE AUTONOMO DE INVESTIMENTO EIRELI ME;2017-06-02;2017-06-22;CANCELAMENTO A PEDIDO;CANCELADA;2017-06-23;SEDE;Avenida Nossa Senhora dos Navegantes;451/sala 1701;Enseada do Suá;VITÓRIA;ES;29050256;27;988658470;felipemtoscano@gmail.com;
04.995.179/0001-15;MEGA AGENTE AUTONOMO DE INVESTIMENTOS S/S LTDA;;2002-08-07;2013-09-30;CANCELAMENTO DE OFÍCIO - NÃO RECADASTRAMENTO ANCORD - INSTR. CVM Nº 497/2011;CANCELADA;2013-09-30;SEDE;R COSME VELHO-136;0/APTO. 201 B;COSME VELHO;RIO DE JANEIRO;RJ;22241090;21;32653773;hirocon@hirocon.com.br;importacao
10.830.581/0001-42;MEGAINVEST AGENTES AUTÔNOMOS DE INVESTIMENTOS LTDA.;;2009-07-16;2013-10-23;CANCELAMENTO A PEDIDO;CANCELADA;2013-10-23;SEDE;PRAÇA SETE DE SETEMBRO, 36;LOJA 04B - 1 ANDAR;CENTRO;SIMÕES FILHO;BA;43700000;71;30258200;sdeiro@megainvest.net;www.megainvest.com.br
